number,value,datetime_start,datetime_complete,duration,params_A,params_B,params_C,params_D,params_Vmax,params_a_ub,params_h1,params_h2,user_attrs_IAE,user_attrs_IAE_0,user_attrs_IAE_1,user_attrs_IAE_2,user_attrs_best_mean_reward,user_attrs_best_mean_reward_0,user_attrs_best_mean_reward_1,user_attrs_best_mean_reward_2,user_attrs_sumA,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_fixed_params,state
53,0.47607585759518,2025-08-24 15:51:34,2025-08-24 16:30:07,0 days 00:38:33,72.32158435768744,-0.7079278951111212,80.04063883355215,-0.46208318350790956,0.04815087198257828,0.5673014869657469,4.667404504677204,1.514121978942439,,,,,,,,,,0.47607585759518,,,PRUNED
54,0.8087283884179,2025-08-24 15:56:13,2025-08-24 17:12:17,0 days 01:16:04,50.278605160765835,-0.49859264601148057,81.76981960337959,-0.3701041007427465,1.5519139981186076,0.45537199864829336,4.545717728996153,1.3674708296468454,,1.4044657682190183,,,,2461.09618327,,,,0.8087283884179,,,PRUNED
55,0.2587537407825249,2025-08-24 16:30:07,2025-08-24 17:45:40,0 days 01:15:33,49.349966943198375,-0.5054301458599486,49.11304570601084,-0.7364817809210483,1.6918396734425227,0.4668394300278357,3.500835846181763,3.5558768637752554,,0.16578530895247706,,,,2192.896173493333,,,,0.16578530895247706,0.2587537407825249,,PRUNED
56,0.4189492394513616,2025-08-24 16:40:38,2025-08-24 19:23:08,0 days 02:42:30,49.11942211420555,-0.6861379740399708,47.4217082106388,-0.3734141948050983,1.8994535898353113,0.43625966387585124,3.4529180546567275,3.582883206819277,0.4189492394513616,0.6291990681111249,0.49601440028322363,0.4189492394513616,1556.1923521233332,1550.236833553333,1551.16042957,1556.1923521233332,1.7018654874479484,0.49601440028322363,,,COMPLETE
57,0.20010808125993088,2025-08-24 16:41:48,2025-08-24 17:59:39,0 days 01:17:51,49.2532026336612,-0.4959215699889613,49.188142240692386,-0.7333944909361244,23.267649136794162,0.46838260428888145,4.181013406043127,4.096049608952632,,0.23464324002501644,,,,2490.3787057700006,,,,0.23464324002501644,0.20010808125993088,,PRUNED
58,0.25102759962283244,2025-08-24 16:55:34,2025-08-24 18:16:25,0 days 01:20:51,49.07558071817034,-0.5108275083812535,49.484517880016845,-0.7316456353780074,1.9838054212601577,0.021399765646405222,3.433958050495775,1.367487907854868,,0.22889250102653322,,,,2147.385941006667,,,,0.22889250102653322,0.25102759962283244,,PRUNED
59,0.22950088497533172,2025-08-24 17:12:17,2025-08-24 19:41:52,0 days 02:29:35,63.75401904467844,-0.5049758202118032,74.00102826565059,-0.725703366511395,6.2195547512999845,0.029081910902021668,3.5551591739498667,4.541142907062646,0.22950088497533172,0.27074091063836386,0.25389669185582187,0.22950088497533172,2877.455962616667,2877.3488503833337,2877.3488503833337,2877.455962616667,2.3157152082267785,0.25389669185582187,,,COMPLETE
60,0.2869384098623864,2025-08-24 17:17:54,2025-08-24 18:36:41,0 days 01:18:47,60.90840785595234,-0.4989114549037321,48.198317482161585,-0.6323606581600304,7.632635704930859,0.0099040526984161,3.398342957668006,4.517144270379086,,0.27150636739698336,,,,2980.7697760099995,,,,0.27150636739698336,0.2869384098623864,,PRUNED
61,0.3239251789240458,2025-08-24 17:45:40,2025-08-24 20:17:46,0 days 02:32:06,63.36596980810723,-0.3693587293485959,75.61400223557031,-0.6397187704988601,5.706494378978498,0.014503230214494761,3.7096418066053993,4.056178638216693,0.3239251789240458,0.2565085502436988,0.3221915987463127,0.3239251789240458,3933.4893588733335,3928.14005045,3928.14005045,3933.4893588733335,2.144796897162777,0.3221915987463127,,,COMPLETE
62,0.31397213474792535,2025-08-24 17:59:39,2025-08-24 20:34:04,0 days 02:34:25,63.51433285178994,-0.3648413947436278,73.31314901940229,-0.643423640464996,6.7571874454801435,0.5532380679214963,3.674751577503319,4.492268262560061,0.31397213474792535,0.28669219159188547,0.20365003225415124,0.31397213474792535,3996.8445403033334,3986.860146903333,3994.620929753333,3996.8445403033334,1.7697556197828528,0.28669219159188547,0.20365003225415124,,COMPLETE
63,0.27890786550703656,2025-08-24 18:16:25,2025-08-24 20:58:12,0 days 02:41:47,62.71098799662922,-0.4253724967887082,74.67048572748544,-0.65172257345177,6.371270568601938,0.2675648645998042,3.6905468071940013,4.64045267579778,0.27890786550703656,0.34972719359274734,0.2586041008940483,0.27890786550703656,3526.0044798600006,3515.919414436667,3520.9432295933334,3526.0044798600006,1.6369390880929526,0.2586041008940483,,,COMPLETE
64,0.9364680086501966,2025-08-24 18:36:41,2025-08-24 19:17:23,0 days 00:40:42,64.82434110739513,-0.36834632078488444,74.1688936152981,-0.8539625476284184,5.406996771296321,0.5583218643951395,3.780202033820079,4.762421126982446,,,,,,,,,,0.9364680086501966,,,PRUNED
65,0.2749563819480854,2025-08-24 19:17:23,2025-08-24 21:52:18,0 days 02:34:55,40.09607885981514,-0.6183706282483504,39.98559457832726,-0.562132103970973,15.787651659767736,0.26313523480998435,3.693571522195327,4.987860938042753,0.2749563819480854,0.28835990384423,0.414126349560777,0.2749563819480854,1539.1807438633332,1535.5600876433334,1538.008988793333,1539.1807438633332,1.5322018557849184,0.414126349560777,,,COMPLETE
66,0.267188573668868,2025-08-24 19:23:08,2025-08-24 20:41:21,0 days 01:18:13,62.7277673797683,-0.7679124793004113,40.24916165868538,-0.560436734409282,19.36477216881384,0.2624978652155163,3.6527275304339892,4.985185702355273,,0.3398516323314636,,,,1435.4644216966665,,,,0.3398516323314636,0.267188573668868,,PRUNED
67,0.32762348794255136,2025-08-24 19:41:52,2025-08-24 22:40:52,0 days 02:59:00,64.85756086927172,-0.6212676877799536,63.53563789575888,-0.6515672032316425,6.423272521050912,0.1267626399580859,3.636517046804851,3.870044962261174,0.32762348794255136,0.2957007365896094,0.3575534376860441,0.32762348794255136,2386.36811922,2374.947665913334,2386.36811922,2386.36811922,2.165207799907502,0.3575534376860441,,,COMPLETE
68,0.4382497622647228,2025-08-24 20:17:46,2025-08-24 23:21:10,0 days 03:03:24,63.31369283039916,-0.2778331479035117,76.88073074940685,-0.5613812907989628,6.515450137265396,0.13568111852694903,3.6728912011415473,4.970856420874078,0.4382497622647228,0.3479393317746498,0.4013518293947707,0.4382497622647228,4593.273125896667,4566.16160301,4593.273125896667,4593.273125896667,1.8718602402460227,0.4013518293947707,,,COMPLETE
69,0.25947400395530135,2025-08-24 20:34:04,2025-08-24 21:51:54,0 days 01:17:50,81.96255207271862,-0.4215043535716076,75.93749385080962,-0.6371117075697166,6.7592231731505,0.10882105304706208,3.0664664537407904,4.675762700655751,,0.23187551149886962,,,,4627.674041963333,,,,0.23187551149886962,0.25947400395530135,,PRUNED
70,0.3266774199155921,2025-08-24 20:41:21,2025-08-24 22:03:21,0 days 01:22:00,39.529666564596994,-0.4403223018690113,76.8104593671073,-0.6629861457612254,6.586130772918378,0.04869462966339101,3.089762938314267,4.585815717948201,,0.2723866100865703,,,,2144.087363813333,,,,0.2723866100865703,0.3266774199155921,,PRUNED
71,0.1778391557230695,2025-08-24 20:58:12,2025-08-25 00:04:21,0 days 03:06:09,81.93267427494719,-0.4343800450421952,60.558165982311564,-0.826385115976495,7.1814068698259135,0.09770219751076922,3.8252353893314304,4.638238292883996,0.1778391557230695,0.3327490197592925,0.2585837032131099,0.1778391557230695,3109.52085244,1773.3385761166671,2794.1851286700003,3109.52085244,1.4751208049694424,0.2585837032131099,,,COMPLETE
72,0.5188069439389905,2025-08-24 21:51:54,2025-08-24 22:32:21,0 days 00:40:27,93.20378492503171,-0.4357626621839271,61.89064738890401,-0.8140356985277355,11.804093756576872,0.13483991561524333,3.920198059748675,4.4760500442279,,,,,,,,,,0.5188069439389905,,,PRUNED
73,0.9332096792644001,2025-08-24 21:52:18,2025-08-25 00:33:30,0 days 02:41:12,37.39507713003425,-0.4403479947019003,60.945127169942175,-0.828732497405436,2.9620276069767018,0.16508555907871966,3.8528293473716326,4.824440594109892,0.9332096792644001,0.22224078826675175,0.23274208600755827,0.9332096792644001,1539.85469077,1539.85469077,1539.85469077,1539.85469077,2.2786291463998305,0.23274208600755827,,,COMPLETE
74,2.260032943805237,2025-08-24 22:03:21,2025-08-24 22:55:02,0 days 00:51:41,44.57135832139666,-0.6808341961633563,60.253024044355996,-0.9064952935735291,14.979933233911236,0.15104682347338602,3.86675343221805,4.824237386888888,,,,,,,,,,2.260032943805237,,,PRUNED
